wave,account,status,name,link,chat_id,notes
4,acc1,done,agile_jobs,https://t.me/agile_jobs,1081141241,owner-2026-06-12
4,acc2,done,analyst_geeklink,https://t.me/analyst_geeklink,2638106638,owner-2026-06-12
4,acc3,done,analyst_job,https://t.me/analyst_job,3453111957,owner-2026-06-12
4,acc1,pending,analysts_hunter,https://t.me/analysts_hunter,,owner-2026-06-12
4,acc2,fail,Blockchain_geeklink,https://t.me/Blockchain_geeklink,,owner-2026-06-12
4,acc3,pending,blender_ru,https://t.me/blender_ru,,owner-2026-06-12
4,acc1,pending,blocomonica,https://t.me/blocomonica,,owner-2026-06-12
4,acc2,done,bina_Znaet,https://t.me/bina_Znaet,1233429107,owner-2026-06-12
4,acc3,done,bykvaadm,https://t.me/bykvaadm,1086252094,owner-2026-06-12
4,acc1,done,cgfreelance,https://t.me/cgfreelance,1137474577,owner-2026-06-12
4,acc2,done,chatcopywriters,https://t.me/chatcopywriters,1159614750,owner-2026-06-12
4,acc3,done,chooseajob,https://t.me/chooseajob,1345983576,owner-2026-06-12
4,acc1,done,copy_go,https://t.me/copy_go,1366027382,owner-2026-06-12
4,acc2,done,Copy_Digital,https://t.me/Copy_Digital,1288632775,owner-2026-06-12
4,acc3,done,cryptoheadhunter,https://t.me/cryptoheadhunter,1151522902,owner-2026-06-12
4,acc1,done,cryptojobslist,https://t.me/cryptojobslist,1100655091,owner-2026-06-12
4,acc2,done,design_jobs_uxui,https://t.me/design_jobs_uxui,1230079882,owner-2026-06-12
4,acc3,done,design_vacancy,https://t.me/design_vacancy,1863271520,owner-2026-06-12
4,acc1,done,designer_jobs,https://t.me/designer_jobs,1242304974,owner-2026-06-12
4,acc2,done,designer_ru,https://t.me/designer_ru,1050146446,owner-2026-06-12
4,acc3,done,designers_ux_ui_graph_jobs,https://t.me/designers_ux_ui_graph_jobs,2134579616,owner-2026-06-12
4,acc1,done,desgangchat,https://t.me/desgangchat,1227080236,owner-2026-06-12
4,acc2,done,devjobs,https://t.me/devjobs,1120288601,owner-2026-06-12
4,acc3,done,devops_jobs,https://t.me/devops_jobs,1051806860,owner-2026-06-12
4,acc1,done,digitalcv,https://t.me/digitalcv,1288384555,owner-2026-06-12
4,acc2,done,digitaltender,https://t.me/digitaltender,1113535556,owner-2026-06-12
4,acc3,done,distantsiya2,https://t.me/distantsiya2,2009862743,owner-2026-06-12
4,acc1,pending,divanjobs,https://t.me/divanjobs,,owner-2026-06-12
4,acc2,done,dnative_job,https://t.me/dnative_job,1101692370,owner-2026-06-12
4,acc3,done,Dorogoj_redaktor_Teksty,https://t.me/Dorogoj_redaktor_Teksty,1270934473,owner-2026-06-12
4,acc1,done,edmarketclubjob,https://t.me/edmarketclubjob,1465321166,owner-2026-06-12
4,acc2,done,eth_jobs,https://t.me/eth_jobs,1136272420,owner-2026-06-12
4,acc3,done,ethereum_hh,https://t.me/ethereum_hh,1717536442,owner-2026-06-12
4,acc1,done,ethereum_jobs_market,https://t.me/ethereum_jobs_market,1298088547,owner-2026-06-12
4,acc2,fail,figmachat,https://t.me/figmachat,,owner-2026-06-12
4,acc3,done,foranalysts,https://t.me/foranalysts,1137236002,owner-2026-06-12
4,acc1,done,fordesigner,https://t.me/fordesigner,1277300882,owner-2026-06-12
4,acc2,done,fordevops,https://t.me/fordevops,1213858047,owner-2026-06-12
4,acc3,done,forfrontend,https://t.me/forfrontend,1347539956,owner-2026-06-12
4,acc1,done,forgamedev,https://t.me/forgamedev,1311122978,owner-2026-06-12
4,acc2,done,forgoandrust,https://t.me/forgoandrust,1205871598,owner-2026-06-12
4,acc3,done,forallmarketing,https://t.me/forallmarketing,1390355862,owner-2026-06-12
4,acc1,done,forallmobile,https://t.me/forallmobile,1389339613,owner-2026-06-12
4,acc2,done,forproducts,https://t.me/forproducts,1093073202,owner-2026-06-12
4,acc3,done,forwebdev,https://t.me/forwebdev,1049110127,owner-2026-06-12
4,acc1,done,founderjob,https://t.me/founderjob,2322543156,owner-2026-06-12
4,acc2,done,frilancekomfort,https://t.me/frilancekomfort,1226791971,owner-2026-06-12
4,acc3,pending,freelance_vacancy,https://t.me/freelance_vacancy,,owner-2026-06-12
4,acc1,done,freelancetaverna,https://t.me/freelancetaverna,1799919407,owner-2026-06-12
4,acc2,done,front_end_dev,https://t.me/front_end_dev,1052068360,owner-2026-06-12
4,acc3,done,front_end_jobs,https://t.me/front_end_jobs,1169018939,owner-2026-06-12
4,acc1,done,gamedev_unity_unreal_engine_jobs,https://t.me/gamedev_unity_unreal_engine_jobs,1660822720,owner-2026-06-12
