wave,account,status,name,link,chat_id,notes
1,acc1,done,ПОМОГАТОР,https://t.me/ipomogator,3363793339,MVP
1,acc1,done,Фриланс удалёнка,https://t.me/frilanc,1127950512,MVP
1,acc1,done,WORK ON,https://t.me/workk_on,1303819569,MVP
1,acc1,done,Удалёнщики,https://t.me/tgjob,1333124183,MVP
1,acc1,done,Чат 1С,https://t.me/task_1C,1434631241,MVP
2,acc1,done,Вакансии Kadrof,https://t.me/kadrof_work,1367389085,волна2
2,acc1,done,Фрилансеры Онлайн,https://t.me/Frilanser_100,2101594712,волна2
2,acc1,done,Distantsiya,https://t.me/distantsiya,1000735083,волна2
2,acc2,done,JavaScript Jobs,https://t.me/javascript_jobs_feed,1110946746,волна2
2,acc2,done,Вакансии Python,https://t.me/ru_pythonjobs,1049086457,волна2
2,acc2,done,Вакансии WordPress,https://t.me/wordpress_jobs,1259741019,волна2
2,acc2,done,WP Craft,https://t.me/wpcraft,1438487841,волна2
2,acc3,done,Чат WordPress,https://t.me/wpchat,1112882647,волна2
2,acc3,done,Воркзавр,https://t.me/+focfZNw0vucyODcy,1063542127,дубль FL/Kwork опционально
