wave,account,status,name,link,chat_id,notes
1,acc1,done,Distantsiya,https://t.me/distantsiya,1000735083,tier-a-migrated
1,acc3,done,normrabota,https://t.me/normrabota,1113237926,tier-a-migrated
1,acc1,done,zapwork,https://t.me/zapwork,1342741755,tier-a-migrated
1,acc1,done,habr_career,https://t.me/habr_career,1011903786,tier-a-migrated
1,acc3,done,designhunters,https://t.me/designhunters,1090349566,tier-a-migrated
1,acc3,done,designbirzha,https://t.me/designbirzha,1182767324,tier-a-migrated
1,acc1,done,designer_jobs,https://t.me/designer_jobs,1242304974,tier-a-migrated
1,acc3,done,smmlancer,https://t.me/smmlancer,1199102856,tier-a-migrated
1,acc3,done,dnative_job,https://t.me/dnative_job,1101692370,tier-a-migrated
1,acc1,done,digitaltender,https://t.me/digitaltender,1113535556,tier-a-migrated
1,acc3,done,textodromo,https://t.me/textodromo,1400175014,tier-a-migrated
2,acc1,done,theyseeku,https://t.me/theyseeku,1143063102,tier-a-pdf
2,acc2,done,perezvonyu,https://t.me/perezvonyu,1109597805,tier-a-pdf
2,acc3,done,workoo,https://t.me/workoo,1459766706,tier-a-pdf
3,acc1,done,remoteit,https://t.me/remoteit,1141029953,tier-a-pdf
3,acc2,done,webfrl,https://t.me/webfrl,1031532699,tier-a-pdf
3,acc3,fail,job_it_digital,https://t.me/job_it_digital,,tier-a-pdf
4,acc1,done,designwork_vacansii,https://t.me/designwork_vacansii,1503608727,tier-a-pdf
4,acc2,done,uxwork,https://t.me/uxwork,1366546821,tier-a-pdf
4,acc3,done,uiux_jobs_resumes,https://t.me/uiux_jobs_resumes,1361592424,tier-a-pdf
5,acc1,fail,jobs_designglory,https://t.me/jobs_designglory,,tier-a-pdf
5,acc2,done,digital_jobster,https://t.me/digital_jobster,1448839765,tier-a-pdf
5,acc3,done,rabota_go,https://t.me/rabota_go,1494510309,tier-a-pdf
6,acc1,fail,rabota_freelance,https://t.me/rabota_freelance,,tier-a-pdf
6,acc2,done,work_copywriters,https://t.me/work_copywriters,1481215606,tier-a-pdf
6,acc3,done,work_editor,https://t.me/work_editor,1090393372,tier-a-pdf
7,acc1,done,kopirayter_kopirayting,https://t.me/kopirayter_kopirayting,1601260147,tier-a-pdf
7,acc2,done,edit_zp,https://t.me/edit_zp,1778078635,tier-a-pdf
7,acc3,done,glvrd_job,https://t.me/glvrd_job,1242204231,tier-a-pdf
8,acc1,done,forallmedia,https://t.me/forallmedia,1208902810,tier-a-pdf
test,acc1,done,test_bots,https://t.me/+Z7HcnIAdSw9kY2U6,5177575757,owner-smoke
test,acc2,done,test_bots,https://t.me/+Z7HcnIAdSw9kY2U6,5177575757,owner-smoke
test,acc3,done,test_bots,https://t.me/+Z7HcnIAdSw9kY2U6,5177575757,owner-smoke
